#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
-6,511.24,405.24,10019.95,510.26,509.29,298.14,288,282.50,788
-5,511.24,405.27,10019.85,510.26,510.26,292.28,290,285.44,785
-4,511.24,405.25,10019.95,510.26,510.26,293.26,291,289.35,789
-5,511.24,405.36,10019.95,510.26,510.26,299.12,290,288.37,790
-5,511.24,405.36,10019.95,510.26,511.24,297.17,288,286.41,790
-5,511.24,405.36,10019.95,509.29,511.24,298.14,289,286.41,795
-6,511.24,405.20,10019.95,510.26,510.26,297.17,293,288.37,789
-5,511.24,405.20,10019.95,509.29,511.24,291.30,288,285.44,785
-4,511.24,405.22,10019.85,510.26,510.26,295.21,290,289.35,789
-5,511.24,405.20,10019.95,509.29,510.26,295.21,288,289.35,793
-5,511.24,405.32,10019.95,511.24,511.24,301.08,292,289.35,795
-6,511.24,405.32,10019.95,509.29,510.26,298.14,291,286.41,791
-5,511.24,405.31,10019.95,509.29,511.24,291.30,289,283.48,786
-4,511.24,377.16,10019.85,510.26,510.26,293.26,289,288.37,787
-4,511.24,405.24,10019.95,509.29,510.26,295.21,288,287.39,790
-5,511.24,405.31,10019.95,510.26,511.24,299.12,283,281.52,787
-4,511.24,405.32,10019.95,510.26,511.24,295.21,287,284.46,791
-5,511.24,405.20,10019.95,510.26,510.26,297.17,293,287.39,790
-5,511.24,405.22,10019.95,510.26,511.24,297.17,295,292.28,792
-5,511.24,405.20,10019.95,510.26,510.26,298.14,295,291.30,793
-5,511.24,405.20,10019.86,510.26,510.26,301.08,291,289.35,791
-5,511.24,405.22,10019.95,509.29,510.26,296.19,290,288.37,793
-5,511.24,405.31,310.15,509.29,510.26,300.10,284,278.59,784
-4,511.24,405.32,309.74,510.26,510.26,291.30,288,285.44,786
-4,511.24,405.31,10019.95,510.26,511.24,293.26,287,287.39,790
-5,511.24,405.31,10019.95,510.26,510.26,296.19,287,284.46,790
-5,511.24,405.37,309.72,510.26,510.26,297.17,293,287.39,789
-5,511.24,405.34,10019.95,509.29,510.26,289.35,287,284.46,783
-4,511.24,405.34,10019.95,510.26,510.26,295.21,291,289.35,787
-4,511.24,405.27,10019.95,509.29,510.26,296.19,287,287.39,790
-5,511.24,405.27,10019.95,510.26,510.26,298.14,290,288.37,793
-5,511.24,405.27,10019.85,510.26,510.26,300.10,293,287.39,791
-5,511.24,405.27,10019.95,509.29,510.26,297.17,295,289.35,792
-5,511.24,405.34,10019.95,509.29,510.26,296.19,293,292.28,790
-5,511.24,405.39,10019.97,509.29,511.24,298.14,291,290.32,792
-5,511.24,405.37,10019.95,510.26,510.26,299.12,290,288.37,792
-5,511.24,405.29,10019.95,510.26,510.26,296.19,290,285.44,789
-5,511.24,405.27,10019.95,510.26,510.26,298.14,295,290.32,792
-5,511.24,405.27,10019.85,510.26,511.24,294.23,291,291.30,791
-5,511.24,405.27,10019.95,510.26,511.24,294.23,290,288.37,789
-5,511.24,405.37,10019.95,510.26,510.26,299.12,287,290.32,793
-5,511.24,405.36,10019.95,510.26,510.26,298.14,291,287.39,793
-5,511.24,405.37,10019.95,509.29,510.26,298.14,291,283.48,783
-4,511.24,405.27,10019.95,510.26,510.26,288.37,287,283.48,784
-4,511.24,405.31,10019.95,510.26,510.26,292.28,290,288.37,787
-4,511.24,405.29,10019.85,509.29,511.24,295.21,289,287.39,788
-5,511.24,405.29,10019.97,509.29,511.24,296.19,288,303.03,803
-7,511.24,405.37,10019.95,509.29,510.26,325.51,313,306.94,818
-9,511.24,405.39,10019.95,510.26,510.26,287.39,282,276.64,780
-4,511.24,405.37,10019.95,510.26,510.26,294.23,289,281.52,779
-3,511.24,405.27,10019.95,509.29,510.26,289.35,287,286.41,786
-4,511.24,405.25,10019.95,510.26,511.24,295.21,288,285.44,787
-4,511.24,405.68,10019.85,511.24,510.26,313.78,303,299.12,803
-7,511.24,405.25,10019.95,510.26,510.26,302.05,294,288.37,794
-5,511.24,405.79,10019.95,510.26,511.24,296.19,293,286.41,791
-5,511.24,405.79,10019.95,510.26,510.26,294.23,292,287.39,789
-5,511.24,405.37,10019.95,510.26,510.26,287.39,272,270.77,770
-2,511.24,405.27,10019.95,511.24,510.26,288.37,283,282.50,784
-4,511.24,405.29,10019.97,510.26,510.26,294.23,284,284.46,788
-5,511.24,405.27,10019.85,510.26,510.26,295.21,287,284.46,790
-5,511.24,405.27,10019.97,510.26,510.26,295.21,293,290.32,795
-6,511.24,405.37,10019.95,509.29,511.24,303.03,297,291.30,793
-5,511.24,405.43,10019.97,510.26,510.26,295.21,293,289.35,789
-5,511.24,405.37,10019.97,510.26,510.26,295.21,291,289.35,789
-5,511.24,405.27,10019.97,510.26,510.26,297.17,288,288.37,789
-5,511.24,405.27,10019.95,510.26,509.29,298.14,289,286.41,792
-5,511.24,405.25,10019.86,510.26,510.26,296.19,289,284.46,791
-5,511.24,405.25,10019.95,510.26,510.26,294.23,287,282.50,783
-4,511.24,405.37,10019.95,510.26,511.24,288.37,287,284.46,784
-4,511.24,405.34,10019.97,510.26,510.26,301.08,294,289.35,786
-4,511.24,405.39,10019.97,510.26,510.26,290.32,284,285.44,786
-4,511.24,405.27,10019.97,510.26,510.26,282.50,276,283.48,787
-4,511.24,405.25,10019.97,510.26,511.24,295.21,288,283.48,789
-5,511.24,405.27,10019.86,510.26,510.26,287.39,289,280.55,786
-4,511.24,405.25,10019.97,509.29,510.26,295.21,294,289.35,787
-4,511.24,405.36,10019.95,509.29,510.26,295.21,291,289.35,788
-5,511.24,405.37,10019.95,509.29,510.26,296.19,291,290.32,789
-5,511.24,405.37,10019.95,509.29,511.24,298.14,289,289.35,792
-5,511.24,405.27,10019.97,510.26,510.26,298.14,290,287.39,792
-5,511.24,405.27,10019.97,510.26,510.26,299.12,286,283.48,791
-5,511.24,405.27,10019.85,510.26,511.24,296.19,290,285.44,789
-5,511.24,405.25,10019.97,510.26,510.26,293.26,293,289.35,790
-5,511.24,405.36,10019.97,509.29,511.24,296.19,293,290.32,793
-5,511.24,405.32,10019.95,510.26,510.26,297.17,291,290.32,791
-5,511.24,405.37,10019.95,510.26,510.26,299.12,290,290.32,793
-5,511.24,405.22,10019.95,509.29,510.26,297.17,296,294.23,792
-5,511.24,405.24,10019.95,510.26,510.26,299.12,293,288.37,798
-6,511.24,405.27,10019.85,510.26,510.26,302.05,299,292.28,794
-5,511.24,405.29,10019.97,510.26,510.26,294.23,289,287.39,796
-6,511.24,405.36,10019.95,510.26,510.26,303.03,293,292.28,792
-5,511.24,405.34,10019.95,509.29,510.26,299.12,287,287.39,789
-5,511.24,405.39,10019.97,510.26,510.26,304.01,295,291.30,795
-6,511.24,405.24,10019.97,510.26,510.26,298.14,296,292.28,798
-6,511.24,405.27,10019.97,509.29,510.26,301.08,294,289.35,791
-5,511.24,405.25,10019.85,510.26,510.26,295.21,293,290.32,789
-5,511.24,405.27,10019.97,510.26,510.26,296.19,285,279.57,779
-3,511.24,405.37,10019.95,510.26,510.26,299.12,286,287.39,792
-5,511.24,405.39,10019.95,510.26,511.24,293.26,285,283.48,788
-5,511.24,405.37,10019.97,510.26,511.24,300.10,290,285.44,792
-5,511.24,405.31,309.33,509.29,510.26,296.19,294,289.35,789
-5,511.24,405.27,10019.95,511.24,511.24,296.19,293,291.30,790
-5,511.24,405.25,10019.95,510.26,510.26,296.19,292,290.32,791
-5,511.24,405.27,10019.95,510.26,510.26,298.14,289,289.35,792
-5,511.24,405.25,10019.86,510.26,511.24,299.12,290,287.39,792
-5,511.24,405.34,10019.95,510.26,511.24,290.32,285,279.57,778
-3,511.24,405.43,10019.97,510.26,511.24,301.08,287,294.23,777
-3,511.24,405.44,10019.95,510.26,510.26,247.31,221,237.54,743
1,511.24,309.31,10019.97,510.26,510.26,273.70,268,268.82,767
-2,511.24,321.70,10019.95,510.26,510.26,275.66,270,269.79,839
-11,511.24,312.81,10019.95,510.26,510.26,286.41,281,277.61,778
-3,511.24,309.43,10019.97,510.26,511.24,346.04,331,317.69,822
-9,511.24,10019.85,10019.95,510.26,510.26,304.99,304,300.10,798
-6,511.24,10019.95,10019.97,510.26,510.26,301.08,292,291.30,792
-5,511.24,10019.95,10019.97,510.26,511.24,303.03,296,290.32,797
-6,511.24,309.60,10019.95,510.26,510.26,301.08,296,293.26,792
-5,511.24,310.03,10019.85,510.26,510.26,303.03,294,290.32,796
-6,511.24,309.93,10019.95,510.26,510.26,296.19,293,291.30,790
-5,511.24,310.03,309.74,510.26,510.26,301.08,293,288.37,794
-5,511.24,310.01,309.31,511.24,510.26,297.17,293,291.30,792
-5,511.24,310.01,10019.95,510.26,509.29,319.65,317,314.76,784
-4,511.24,309.21,10019.85,509.29,511.24,334.31,333,327.47,829
-10,511.24,310.01,10019.95,510.26,510.26,312.81,308,277.61,713
5,511.24,309.14,10019.97,510.26,510.26,270.77,266,267.84,771
-2,511.24,315.13,10019.97,510.26,510.26,306.94,301,295.21,793
-5,511.24,10598.16,10019.95,510.26,510.26,292.28,260,208.21,689
9,511.24,309.14,10019.86,510.26,510.26,211.14,211,210.17,684
9,10776.15,309.14,10019.95,510.26,510.26,192.57,192,192.57,693
8,511.24,309.14,309.21,510.26,510.26,220.92,219,217.99,720
4,511.24,309.14,309.33,509.29,510.26,249.27,245,240.47,740
2,511.24,309.14,309.31,510.26,510.26,255.13,256,253.18,755
0,511.24,309.14,309.31,510.26,511.24,276.64,271,290.32,794
-5,511.24,309.02,309.31,509.29,511.24,289.35,288,286.41,783
